Auteur;Date;Titre;Editeur;Auteur - Titre
Bocio I., Lorite J., Navarro F.B. & Valle F.;2000;"Applicacion de la fitosociologia a la restauracion de la vegetacion en zonas incendiadas; un ejemplo en Sierra Nevada (S.E. España)";"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 979-997";"Bocio I., Lorite J., Navarro F.B. & Valle F. - Applicacion de la fitosociologia a la restauracion de la vegetacion en zonas incendiadas; un ejemplo en Sierra Nevada (S.E. España) - 2000"
Boer A.C.;1942;Plantensociologische beschrijving van de orde der Phragmitetalia.;Nederl. Kruidkd. Arch. 52: 237-302.;Boer A.C. - Plantensociologische beschrijving van de orde der Phragmitetalia. - 1942
Bœuf et al.;2013a;Aulnaies glutineuses marécageuses : - eutrophes à Cirse des marïchers, Reine des prés -mésotrophes à Laîches - méso-oligotrophes à ronces - oligotrophes turficoles à Sphaigne palustre et Blechnum.;Référentiel des végétations d'Alsace Fiche 3: 1-10. , titre provisoire;Bœuf et al. - Aulnaies glutineuses marécageuses : - eutrophes à Cirse des marïchers, Reine des prés -mésotrophes à Laîches - méso-oligotrophes à ronces - oligotrophes turficoles à Sphaigne palustre et Blechnum. - 2013a
Bœuf et al.;2013b;Sapinières, Sapinières-Pessières, Pessières tourbeuses ou hygroacidophiles à sphaignes.;Référentiel des végétations d'Alsace Fiche 34: 1-4. , titre provisoire;Bœuf et al. - Sapinières, Sapinières-Pessières, Pessières tourbeuses ou hygroacidophiles à sphaignes. - 2013b
Bohn U.;1995;International project for the construction of a map of the natural vegetation of Europe at a scale of 1:2.5 million - Its concept, problems of harmonization and application for nature protection;"Coll. Phytosoc. XXIII, ""Large area vegetation surveys"", Bailleul 1994: 23-45";Bohn U. - International project for the construction of a map of the natural vegetation of Europe at a scale of 1:2.5 million - Its concept, problems of harmonization and application for nature protection - 1995
Böhnert W., Gutte P. & Schmidt P.A;2001;Verzeichnis und Rote Liste der Pflanzengesellschaften Sachsens.;Materialien zu Naturschutz und Landschaftspflege, Sächsisches Landesamt für Umwelt und Geologie, Dresden, 304p. ;Böhnert W., Gutte P. & Schmidt P.A - Verzeichnis und Rote Liste der Pflanzengesellschaften Sachsens. - 2001
Bonin G.;1969;A propos de la valeur phytosociologique des pelouses écorchées de l'Apennin.;Annales de la Faculté des Sciences de Marseille, t. XLII, p. 139-144;Bonin G. - A propos de la valeur phytosociologique des pelouses écorchées de l'Apennin. - 1969
Bonin G., Abbas H., Barbero M., Loisel R., Quezel P.;1988;Diversité des milieux et de la production de quelques essences forestières en France méridionale;"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  527-543";Bonin G., Abbas H., Barbero M., Loisel R., Quezel P. - Diversité des milieux et de la production de quelques essences forestières en France méridionale - 1988
Bono G. & Barbero M.;1971;A propos des cembraies des Alpes Cottiennes italiennes, maritimes et ligures.;Allionia 17: 97-120. ;Bono G. & Barbero M. - A propos des cembraies des Alpes Cottiennes italiennes, maritimes et ligures. - 1971
Bos?caiu N.;1971;Flora s?i vegetat?ia munt?ilor T?arcu, Godeanu s?i Cernei.;Editura Academiei Republicii Socialiste Roma?nia,  Bucuresti, 494 p.;Bos?caiu N. - Flora s?i vegetat?ia munt?ilor T?arcu, Godeanu s?i Cernei. - 1971
Botineau M.;1985;Contribution à l'étude botanique de la Haute et Moyenne vallée de la Vienne (phytogéographie - phytosociologie);Bull. Soc. Bot. Centre-Ouest, NS, n° spécial 6, 352 p.;Botineau M. - Contribution à l'étude botanique de la Haute et Moyenne vallée de la Vienne (phytogéographie - phytosociologie) - 1985
Botineau M. & Ghestem A.;1995;"Les landes sèches et mésophiles du centre-ouest de la France: caractérisation phytosociologique et chorologique; intérêt écologique et patrimonial";"Coll. Phytosoc. XXIII, ""Large area vegetation surveys"", Bailleul 1994: 277-317";"Botineau M. & Ghestem A. - Les landes sèches et mésophiles du centre-ouest de la France: caractérisation phytosociologique et chorologique; intérêt écologique et patrimonial - 1995"
Botineau M., Bourotte, Descubes-Gouilly C. & Ghestem A.;1989;Divers aspects des prairies permanentes et pacages d'un secteur de Haute-Corrèze (Cantons de Bugeat, Sornac, Meymac): phytosociologie, valeur pastorale;"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 599-608";Botineau M., Bourotte, Descubes-Gouilly C. & Ghestem A. - Divers aspects des prairies permanentes et pacages d'un secteur de Haute-Corrèze (Cantons de Bugeat, Sornac, Meymac): phytosociologie, valeur pastorale - 1989
Botineau M., Descubes-Gouilly C., Ghestem A. & Vilks A.;1988;Les hêtraies, hêtraies-chênaies et groupements associés (ourlets, coupes) des hauts plateaux du Limousin;"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  99-113";Botineau M., Descubes-Gouilly C., Ghestem A. & Vilks A. - Les hêtraies, hêtraies-chênaies et groupements associés (ourlets, coupes) des hauts plateaux du Limousin - 1988
Botineau M., Descubes-Gouilly C., Ghestem A. & Vilks A.;1989;Conséquence de l'abandon de la pratique pastorale sur la composition floristique des prairies permanentes des plateaux limousins;"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 529-538";Botineau M., Descubes-Gouilly C., Ghestem A. & Vilks A. - Conséquence de l'abandon de la pratique pastorale sur la composition floristique des prairies permanentes des plateaux limousins - 1989
Botineau M., Ghestem A. & Vilks A.;1985;Contribution à l'étude des Mégaphorbiaies du Centre-Ouest de la France;"Coll. Phytosoc. XII, ""Séminaire Mégaphorbiaies"", Bailleul 1984: 139-159";Botineau M., Ghestem A. & Vilks A. - Contribution à l'étude des Mégaphorbiaies du Centre-Ouest de la France - 1985
Botineau M., Ghestem A., Vilks A.;1998;La végétation vasculaire de la tourbière des Dauges. Bilan de 10 années d'inventaires et d'études du milieu.;Annales Scientifiques du Limousin, n° spécial, Tourbière des Dauges, p. 55-77.;Botineau M., Ghestem A., Vilks A. - La végétation vasculaire de la tourbière des Dauges. Bilan de 10 années d'inventaires et d'études du milieu. - 1998
Böttcher H. & Erckmann B.;1991;Ecological landscape examination by means of phytosociological methods;"Coll. Phytosoc. XVII, ""Phytosociologie et paysage"", Versailles 1988: 281-295";Böttcher H. & Erckmann B. - Ecological landscape examination by means of phytosociological methods - 1991
Bou I Tomas J.;1988;La phytosociologie et le réseau des espaces d'intérêt naturel de la Catalogne;"Coll. Phytosoc. XV, ""Phytosociologie et conservation de la nature"", Strasbourg 1987: 695-711";Bou I Tomas J. - La phytosociologie et le réseau des espaces d'intérêt naturel de la Catalogne - 1988
Bouabdallah E.-H.;1989;Structure et production de quelques communautés végétales halophiles des Hautes-plaines sud-Algeroises;"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 609-617";Bouabdallah E.-H. - Structure et production de quelques communautés végétales halophiles des Hautes-plaines sud-Algeroises - 1989
Bouillenne R.;1953;"Le rôle des ""sphagnetalia"" dans la vie des tourbières des Hautes-Fagnes.";Vegetatio Acta Geobotanica, vol. V-VI, p. 66-71;"Bouillenne R. - Le rôle des ""sphagnetalia"" dans la vie des tourbières des Hautes-Fagnes. - 1953"
Boullet V.;1984;Première contribution à l'étude des pelouses calcaires du crétacé des Charentes;"Coll. Phytosoc. XI, ""La végétation des pelouses calcaires"", Strasbourg 1982: 15-36";Boullet V. - Première contribution à l'étude des pelouses calcaires du crétacé des Charentes - 1984
Boullet V.;1988;Approches méthodologique et phytosociologique de la protection et de la gestion des pelouses calcicoles planitiaires;"Coll. Phytosoc. XV, ""Phytosociologie et conservation de la nature"", Strasbourg 1987: 417-430";Boullet V. - Approches méthodologique et phytosociologique de la protection et de la gestion des pelouses calcicoles planitiaires - 1988
Boullet V.;1989;Organisations et dynamiques structurales des anciens parcours pastoraux en milieux calcicoles atlantiques;"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 157-193";Boullet V. - Organisations et dynamiques structurales des anciens parcours pastoraux en milieux calcicoles atlantiques - 1989
Boullet V. & Wattez J.-R.;1985;Exemples d'anthropisation des pelouses calcaires dans la Picardie et le Nord de la France;"Coll. Phytosoc. XII, ""Les végétations nitrophiles et anthropogènes"", Bailleul 1983: 313-329";Boullet V. & Wattez J.-R. - Exemples d'anthropisation des pelouses calcaires dans la Picardie et le Nord de la France - 1985
Boullet V. 1 Gehu J.-M.;1991;L'évaluation cartographique des risques d'incendie méditerranéen;"Coll. Phytosoc. XVII, ""Phytosociologie et paysage"", Versailles 1988: 309-322";Boullet V. 1 Gehu J.-M. - L'évaluation cartographique des risques d'incendie méditerranéen - 1991
Bournerias M.;1975;"Influence des landes oligotrophes sur les groupements végétaux voisins; leurs conséquences quant à la conservation de biotopes et biocénoses rares ou relictuels";"Coll. Phytosoc. II,""La végétation des landes d'Europe occidentale"", Lille 1973: 213-224";"Bournerias M. - Influence des landes oligotrophes sur les groupements végétaux voisins; leurs conséquences quant à la conservation de biotopes et biocénoses rares ou relictuels - 1975"
Bournérias M.;1952;Beine et Laonnois: Végétation et géologie.;La Feuille Des Naturalistes, NS, VII: 93-101.;Bournérias M. - Beine et Laonnois: Végétation et géologie. - 1952
Bournerias M., Arnal G., Bock G.;2001;Guide des groupements végétaux de la région parisienne.;Belin, 639p.;Bournerias M., Arnal G., Bock G. - Guide des groupements végétaux de la région parisienne. - 2001
Bournerias M., Delpech R., Dorigny A., Géhu J.-M., Lecointe A., Maucorps J., Provost M., Solau J.L., Tombal P. & Wattez J.-R.;1978;Les groupements de prairies et leur stabilité dans la vallée inondable de l’Oise (Département de l'Aisne, France).;"Coll. Phytosoc. V, ""La végétation des prairies inondables"", Lille 1976: 89-130.";Bournerias M., Delpech R., Dorigny A., Géhu J.-M., Lecointe A., Maucorps J., Provost M., Solau J.L., Tombal P. & Wattez J.-R. - Les groupements de prairies et leur stabilité dans la vallée inondable de l’Oise (Département de l'Aisne, France). - 1978
Bouxin G.;1988;La végétation herbacée des ruisselets d'un massif boisé sur roches éodévoniennes, en Belgique;"Coll. Phytosoc. XV, ""Phytosociologie et conservation de la nature"", Strasbourg 1987: 93-106";Bouxin G. - La végétation herbacée des ruisselets d'un massif boisé sur roches éodévoniennes, en Belgique - 1988
Bouxin G. & Deflandre G.;1989;Les groupements végétaux dans la pelouse calcaire de Belvaux (Belgique);"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 619-628";Bouxin G. & Deflandre G. - Les groupements végétaux dans la pelouse calcaire de Belvaux (Belgique) - 1989
Bouzillé J.B.;1981;La végétation du marais breton (Vendée et Loire-Atlantique). Aspects floristiques, écologiques et dynamiques.;Bull. Soc. Bot. Centre-Ouest, NS, 12: 30-56.;Bouzillé J.B. - La végétation du marais breton (Vendée et Loire-Atlantique). Aspects floristiques, écologiques et dynamiques. - 1981
Bouzillé J.B.;1992;Structure et dynamique des paysages, des communautés et des populations végétales des marais de l’Ouest.;Thèse, Rennes, 303p. ;Bouzillé J.B. - Structure et dynamique des paysages, des communautés et des populations végétales des marais de l’Ouest. - 1992
Bouzille J.-B., De Foucault B.;1988;Données phytosociologiques sur les ourlets et manteaux préforestier en Vendée et régions limitrophes.;Doc. Phytosoc., NS, XI, p. 57-65;Bouzille J.-B., De Foucault B. - Données phytosociologiques sur les ourlets et manteaux préforestier en Vendée et régions limitrophes. - 1988
Bouzille J.-B., Dupont P. & Vertes F.;1989;Quelques données sur la valeur fourragère des prairies subhalophiles thermo-atlantiques: recherche de l'optimum d'utilisation;"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 395-410";Bouzille J.-B., Dupont P. & Vertes F. - Quelques données sur la valeur fourragère des prairies subhalophiles thermo-atlantiques: recherche de l'optimum d'utilisation - 1989
Bouzille J.B., Gehu J.M., Godreau M., Bioret F., Botineau M., Lahondere C.;1989;Troisième journées phytosociologiques du Centre-Ouest: Analyse paysagère sur le littoral Vendéen.;Bull. S.B.C.O., nouvelle-série, t. 20, 42p.;Bouzille J.B., Gehu J.M., Godreau M., Bioret F., Botineau M., Lahondere C. - Troisième journées phytosociologiques du Centre-Ouest: Analyse paysagère sur le littoral Vendéen. - 1989
Bozon N. & Grossi J.-L.;1993;Processus d'enfrichement et succesions végétales post-culturales en zone de montagne: approche pluridisciplinaire et pluriscalaire;"Coll. Phytosoc. XX, ""Phytodynamique et Biogéographie historique des forêts"", Bailleul 1991: 175-189";Bozon N. & Grossi J.-L. - Processus d'enfrichement et succesions végétales post-culturales en zone de montagne: approche pluridisciplinaire et pluriscalaire - 1993
Brandes D.;1985;Das Heracleo-Sambucetum ebuli in west und Mitteleuropa;"Coll. Phytosoc. XII, ""Les végétations nitrophiles et anthropogènes"", Bailleul 1983: 591-596";Brandes D. - Das Heracleo-Sambucetum ebuli in west und Mitteleuropa - 1985
Braque R.;1983;Inventaire provsoire des groupements de lisière des for^ts baso-thermophiles (Trifolio-Geranietea sanguinei Th. Müller 1961) dans le sud du bassin parisien;"Coll. Phytosoc. VIII, ""Les lisières forestières"", Lille 1979: 51-71";Braque R. - Inventaire provsoire des groupements de lisière des for^ts baso-thermophiles (Trifolio-Geranietea sanguinei Th. Müller 1961) dans le sud du bassin parisien - 1983
Braque R.;2001;Les friches du Nivernais, pelouses et ourlets des terres calcaires.;S.B.C.O., N° spécial 21 - 2001,253p.;Braque R. - Les friches du Nivernais, pelouses et ourlets des terres calcaires. - 2001
Braque R. & Loiseau J. E.;1994;Pelouses et ourlets du Berry.;Bull. Soc. Bot. Centre-Ouest, NS, n° sp 12: 1-193.;Braque R. & Loiseau J. E. - Pelouses et ourlets du Berry. - 1994
Braque R. & Loiseau J.-E.;1984;Forêts alluviales intéressantes du cours moyen méridien de la Loire et de l'Allier.;"Coll. Phytosoc. IX, ""La végétation des forêts alluviales"", Strasbourg 1980: 601-605";Braque R. & Loiseau J.-E. - Forêts alluviales intéressantes du cours moyen méridien de la Loire et de l'Allier. - 1984
Braque R. & Loiseau J.-E.;1984;Exorde de la présentation des groupements herbacés des Causses berrichons et domaines circumvoisins;"Coll. Phytosoc. XI, ""La végétation des pelouses calcaires"", Strasbourg 1982: 219-228";Braque R. & Loiseau J.-E. - Exorde de la présentation des groupements herbacés des Causses berrichons et domaines circumvoisins - 1984
Braun-Blanquet J.;1915;Les Cévennes méridionales (massif de l’Aigoual): étude phytogéographique.;Arch. Sci. Phys. Nat. XXXV, Genève, 207 p.;Braun-Blanquet J. - Les Cévennes méridionales (massif de l’Aigoual): étude phytogéographique. - 1915
Braun-Blanquet J.;1918;Eine pflanzengeographische Excursion durchs Unterengadin und in den schweizerischen Nationalpark.;Beiträge zur geobotanischen Landesaufnahme 4, Rascher & Co., Zürich, 79 p.   ;Braun-Blanquet J. - Eine pflanzengeographische Excursion durchs Unterengadin und in den schweizerischen Nationalpark. - 1918
Braun-Blanquet J.;1921;Prinzipien einer Systematik der Pflanzengesellschaften auf floristischer Grundlage.;Jahrb. St-Gall. Naturw. Ges. 57: 305-351 ;Braun-Blanquet J. - Prinzipien einer Systematik der Pflanzengesellschaften auf floristischer Grundlage. - 1921
